team,color1,color2,color3,color4
49ers,#AA0000,#B3995D,,
Bears,#DD4814,#031E2F,,
Bengals,,,,
Bills,#00338D,white,,
Broncos,,,,
Browns,,,,
Bucs,#FF7900,#34302B,,
Cardinals,,,,
Chargers,#002244,#FFB612,,
Chiefs,#C60C30,#FFFFFF,,
Colts,,,,
Commanders,,,,
Cowboys,#828A87,#002147,,
Dolphins,,,,
Eagles,#004953,#828A87,,
Falcons,,,,
Giants,,,,
Jaguars,,,,
Jets,,,,
Lions,#B0B7BC,#0076B6,,
Packers,#203731,#FFB612,,
Panthers,,,,
Patriots,,,,
Raiders,,,,
Rams,#95774D,#002147,,
Ravens,#241773,white,,
Saints,#968252,#111C24,,
Seahawks,,,,
Steelers,,,,
Texans,#A71930,#03202F,,
Titans,,,,
Vikings,#FFB612,#4B306A,,